combo,tails,circuits,max_tail,max_circuit,circuit_lengths,tail_lengths,edge_selection
0011000000,610,1040,3,12,"[3, 4, 5, 8, 12]","{2: 491, 1: 118, 3: 1}",2578
0011000100,610,586,7,18,"[5, 7, 8, 11, 12, 14, 15, 18]","{1: 233, 3: 90, 2: 261, 7: 26}",2578
0011001000,610,590,22,34,"[3, 4, 9, 21, 25, 26, 34]","{2: 275, 3: 73, 1: 191, 22: 21, 18: 33, 6: 16, 16: 1}",2578
0011001100,610,136,865,3,[3],"{1: 306, 3: 162, 79: 10, 2: 71, 22: 21, 16: 13, 83: 8, 18: 8, 77: 7, 865: 1, 864: 1, 860: 1, 80: 1}",2578
0011100000,610,671,14,19,"[3, 4, 5, 11, 15, 19]","{2: 402, 10: 56, 1: 118, 14: 33, 3: 1}",2578
0011100100,610,217,15,42,"[5, 15, 19, 23, 34, 38, 42]","{1: 233, 11: 56, 2: 261, 7: 26, 15: 33, 3: 1}",2578
0011101000,610,286,64,67,"[3, 4, 9, 31, 56, 67]","{2: 186, 31: 10, 3: 73, 1: 191, 12: 18, 21: 18, 7: 47, 30: 15, 6: 16, 53: 8, 23: 8, 64: 7, 55: 8, 20: 3, 19: 1, 26: 1}",2578
0011101100,610,364,34,35,"[3, 13, 35]","{1: 306, 8: 73, 3: 73, 2: 71, 12: 50, 21: 18, 34: 18, 33: 1}",2578
0100000000,610,1409,3,9,"[3, 4, 5, 9]","{2: 491, 1: 118, 3: 1}",2578
0100000100,610,955,7,18,"[3, 5, 7, 9, 11, 14, 15, 18]","{1: 233, 3: 90, 2: 261, 7: 26}",2578
0100001000,610,959,8,12,"[3, 4, 7, 8, 9, 10, 11, 12]","{2: 275, 3: 73, 1: 191, 7: 54, 6: 16, 8: 1}",2578
0100001100,610,505,95,182,"[3, 8, 10, 12, 21, 30, 65, 103, 182]","{1: 306, 3: 162, 19: 20, 2: 71, 7: 29, 57: 5, 16: 13, 95: 3, 20: 1}",2578
0100100000,610,1040,5,9,"[3, 4, 5, 6, 9]","{2: 402, 5: 89, 1: 118, 3: 1}",2578
0100100100,610,586,7,24,"[5, 9, 13, 14, 15, 23, 24]","{1: 233, 6: 89, 2: 261, 7: 26, 3: 1}",2578
0100101000,610,590,14,15,"[3, 4, 6, 9, 10, 11, 13, 14, 15]","{2: 186, 14: 21, 3: 73, 1: 191, 7: 54, 10: 34, 5: 34, 6: 16, 8: 1}",2578
0100101100,610,136,503,3,[3],"{1: 306, 15: 21, 3: 73, 19: 20, 2: 71, 7: 29, 11: 34, 6: 34, 503: 1, 109: 5, 113: 7, 130: 3, 499: 2, 467: 1, 461: 1, 92: 1, 20: 1}",2578
0101000000,610,1040,3,9,"[3, 4, 8, 9]","{2: 491, 1: 118, 3: 1}",2578
0101000100,610,586,7,18,"[7, 8, 9, 11, 14, 15, 18]","{1: 233, 3: 90, 2: 261, 7: 26}",2578
0101001000,610,590,20,34,"[3, 4, 9, 21, 30, 34]","{2: 275, 3: 73, 1: 191, 18: 54, 6: 16, 20: 1}",2578
0101001100,610,136,869,3,[3],"{1: 306, 3: 162, 83: 13, 2: 71, 18: 29, 79: 5, 16: 13, 85: 7, 869: 1, 860: 2, 88: 1}",2578
0101100000,610,671,10,19,"[3, 4, 9, 11, 19]","{2: 402, 10: 89, 1: 118, 3: 1}",2578
0101100100,610,217,11,38,"[9, 15, 19, 23, 34, 38]","{1: 233, 11: 89, 2: 261, 7: 26, 3: 1}",2578
0101101000,610,286,64,67,"[3, 4, 9, 27, 60, 67]","{2: 186, 31: 10, 3: 73, 1: 191, 8: 18, 25: 18, 7: 47, 26: 16, 6: 16, 57: 8, 23: 9, 64: 7, 59: 8, 16: 3}",2578
0101101100,610,364,34,35,"[3, 13, 35]","{1: 306, 8: 91, 3: 73, 2: 71, 25: 18, 12: 32, 34: 18, 33: 1}",2578
0110000000,610,1346,3,12,"[3, 4, 5, 12]","{2: 491, 1: 118, 3: 1}",2578
0110000100,610,892,7,18,"[3, 5, 7, 11, 12, 14, 15, 18]","{1: 233, 3: 90, 2: 261, 7: 26}",2578
0110001000,610,896,8,15,"[3, 4, 7, 8, 9, 10, 11, 15]","{2: 275, 3: 73, 1: 191, 7: 54, 6: 16, 8: 1}",2578
0110001100,610,442,95,182,"[3, 8, 10, 15, 21, 30, 65, 103, 182]","{1: 306, 3: 162, 19: 20, 2: 71, 7: 29, 57: 5, 16: 13, 95: 3, 20: 1}",2578
0110100000,610,977,14,15,"[3, 4, 5, 6, 9, 15]","{2: 402, 5: 56, 1: 118, 14: 33, 3: 1}",2578
0110100100,610,523,15,33,"[5, 13, 14, 15, 23, 24, 32, 33]","{1: 233, 6: 56, 2: 261, 7: 26, 15: 33, 3: 1}",2578
0110101000,610,545,20,21,"[3, 4, 9, 10, 11, 13, 14, 21]","{2: 186, 10: 52, 3: 73, 1: 191, 7: 54, 9: 18, 20: 18, 6: 16, 8: 1, 5: 1}",2578
0110101100,610,149,306,39,"[3, 39]","{1: 306, 11: 52, 3: 73, 19: 20, 2: 71, 7: 29, 10: 18, 120: 5, 38: 15, 77: 5, 161: 3, 306: 2, 14: 3, 205: 3, 224: 1, 195: 1, 149: 1, 20: 1, 6: 1}",2578
0111000000,610,977,3,17,"[3, 4, 8, 17]","{2: 491, 1: 118, 3: 1}",2578
0111000100,610,523,7,18,"[7, 8, 11, 14, 15, 17, 18]","{1: 233, 3: 90, 2: 261, 7: 26}",2578
0111001000,610,527,75,85,"[3, 4, 9, 21, 51, 85]","{2: 275, 3: 73, 1: 191, 48: 21, 18: 33, 6: 16, 75: 1}",2578
0111001100,610,166,536,100,"[3, 26, 100]","{1: 306, 3: 162, 17: 21, 2: 71, 84: 5, 79: 5, 16: 13, 87: 5, 18: 8, 83: 5, 535: 1, 95: 3, 91: 3, 397: 1, 536: 1}",2578
0111100000,610,608,19,20,"[3, 4, 11, 19, 20]","{2: 402, 10: 56, 1: 118, 19: 33, 3: 1}",2578
0111100100,610,154,20,47,"[15, 19, 23, 34, 38, 43, 47]","{1: 233, 11: 56, 2: 261, 7: 26, 20: 33, 3: 1}",2578
0111101000,610,259,129,87,"[3, 4, 9, 87]","{2: 186, 31: 10, 3: 73, 1: 191, 12: 21, 7: 47, 21: 33, 62: 8, 6: 16, 23: 8, 129: 7, 63: 3, 86: 5, 117: 1, 26: 1}",2578
0111101100,610,409,21,22,"[3, 13, 22]","{1: 306, 8: 73, 3: 73, 2: 71, 12: 53, 21: 33, 20: 1}",2578
0000000000,795,270,234,135,"[3, 12, 32, 135]","{1: 492, 2: 144, 4: 89, 6: 26, 118: 5, 12: 18, 57: 5, 21: 8, 189: 3, 38: 3, 234: 1, 225: 1}",0356
0000000100,795,226,201,126,"[5, 7, 34, 126]","{2: 118, 1: 492, 4: 141, 99: 5, 12: 18, 54: 5, 21: 8, 159: 3, 30: 3, 201: 1, 192: 1}",0356
0000001000,795,378,416,65,"[3, 52, 65]","{1: 421, 2: 186, 4: 73, 21: 20, 8: 29, 76: 5, 5: 18, 34: 5, 10: 15, 9: 8, 63: 7, 93: 3, 328: 2, 416: 1, 19: 1, 48: 1}",0356
0000001100,795,262,111,69,"[3, 14, 16, 18, 20, 69]","{2: 160, 1: 421, 4: 73, 13: 21, 8: 30, 54: 5, 5: 18, 10: 41, 28: 5, 9: 8, 88: 3, 16: 3, 111: 1, 15: 5, 107: 1}",0356
1000000000,795,766,182,105,"[2, 3, 12, 24, 105]","{1: 492, 2: 233, 6: 26, 92: 5, 10: 18, 45: 5, 17: 8, 147: 3, 30: 3, 182: 1, 175: 1}",0356
1000000100,795,722,167,102,"[2, 5, 28, 102]","{2: 207, 1: 492, 4: 52, 83: 5, 10: 18, 44: 5, 17: 8, 133: 3, 26: 3, 167: 1, 160: 1}",0356
1000001000,795,874,320,51,"[2, 3, 42, 51]","{1: 421, 2: 259, 17: 21, 6: 29, 56: 5, 5: 18, 26: 5, 8: 15, 7: 8, 47: 7, 69: 3, 254: 2, 320: 1, 36: 1}",0356
1000001100,795,758,97,57,"[2, 3, 12, 18, 57]","{2: 233, 1: 421, 11: 26, 6: 45, 48: 5, 5: 18, 8: 26, 24: 5, 7: 8, 78: 3, 16: 3, 97: 1, 95: 1}",0356
0000000000,189,152,127,75,"[11, 13, 15, 23, 75]","{65: 5, 5: 73, 8: 54, 12: 18, 37: 5, 10: 16, 16: 8, 102: 3, 24: 3, 127: 1, 123: 1, 6: 1, 4: 1}",0136
1000000000,189,648,113,63,"[2, 9, 21, 63]","{59: 5, 3: 73, 6: 71, 12: 18, 33: 5, 14: 8, 92: 3, 24: 3, 113: 1, 111: 1, 4: 1}",0136
0000000000,4,432,715,163,"[4, 7, 10, 19, 28, 58, 94, 163]","{462: 1, 290: 1, 715: 1, 427: 1}",1278
0000000001,4,313,10,91,"[8, 9, 11, 21, 44, 91]","{10: 3, 1: 1}",1278
0000100000,4,63,3857,4,[4],"{1: 2, 1653: 1, 3857: 1}",1278
0000100001,4,432,10,30,"[9, 12, 15, 30]","{1: 3, 10: 1}",1278
0001000000,4,63,2763,4,[4],"{1515: 1, 1233: 1, 2763: 1, 1: 1}",1278
0001000001,4,431,10,27,"[9, 12, 15, 27]","{10: 2, 1: 2}",1278
0001100000,4,432,27,29,"[4, 12, 29]","{1: 3, 27: 1}",1278
0001100001,4,802,1,21,"[3, 9, 21]",{1: 4},1278
0010000000,4,369,715,163,"[4, 7, 8, 10, 19, 28, 58, 94, 163]","{462: 1, 290: 1, 715: 1, 427: 1}",1278
0010000001,4,250,10,91,"[9, 19, 21, 44, 91]","{10: 3, 1: 1}",1278
0010100000,4,0,4033,0,[],"{1: 2, 1729: 1, 4033: 1}",1278
0010100001,4,495,10,15,"[9, 12, 15]","{1: 3, 10: 1}",1278
0011000000,4,0,2867,0,[],"{1587: 1, 1309: 1, 2867: 1, 1: 1}",1278
0011000001,4,494,10,15,"[9, 12, 15]","{10: 2, 1: 2}",1278
0011100000,4,369,31,33,"[12, 33]","{1: 3, 31: 1}",1278
0011100001,4,865,1,12,"[3, 9, 12]",{1: 4},1278
0100000000,4,369,715,163,"[4, 7, 10, 11, 19, 28, 58, 94, 163]","{462: 1, 290: 1, 715: 1, 427: 1}",1278
0100000001,4,250,10,91,"[9, 19, 21, 44, 91]","{10: 3, 1: 1}",1278
0100100000,4,0,4053,0,[],"{1: 2, 1709: 1, 4053: 1}",1278
0100100001,4,495,10,18,"[9, 12, 15, 18]","{1: 3, 10: 1}",1278
0101000000,4,0,2867,0,[],"{1583: 1, 1313: 1, 2867: 1, 1: 1}",1278
0101000001,4,494,10,15,"[9, 12, 15]","{10: 2, 1: 2}",1278
0101100000,4,369,31,33,"[12, 33]","{1: 3, 31: 1}",1278
0101100001,4,865,1,12,"[3, 9, 12]",{1: 4},1278
0110000000,4,306,715,163,"[4, 7, 10, 15, 19, 28, 58, 94, 163]","{462: 1, 290: 1, 715: 1, 427: 1}",1278
0110000001,4,313,10,91,"[3, 9, 16, 21, 44, 91]","{10: 3, 1: 1}",1278
0110100000,4,62,169,423,"[36, 207, 309, 423]","{1: 2, 37: 1, 169: 1}",1278
0110100001,4,558,10,15,"[3, 9, 12, 15]","{1: 3, 10: 1}",1278
0111000000,4,62,1829,93,"[24, 93]","{898: 1, 1829: 1, 513: 1, 1: 1}",1278
0111000001,4,557,10,15,"[3, 9, 12, 15]","{10: 2, 1: 2}",1278
0111100000,4,432,19,21,"[12, 21]","{1: 3, 19: 1}",1278
0111100001,4,928,1,9,"[3, 9]",{1: 4},1278
0000000000,609,1328,2,3,[3],"{1: 305, 2: 304}",15
0000000100,609,821,4,9,"[3, 6, 9]","{4: 115, 2: 304, 1: 190}",15
0000100000,609,959,5,9,"[3, 6, 9]","{1: 305, 2: 215, 5: 89}",15
0000100100,609,977,4,6,"[3, 6]","{4: 115, 2: 304, 1: 190}",15
0000000000,190,74,538,1245,"[12, 13, 14, 266, 1245]","{9: 89, 19: 21, 8: 26, 4: 29, 58: 5, 234: 3, 20: 8, 123: 5, 538: 2, 1: 1, 13: 1}",023678
0000000010,190,34,348,204,"[12, 44, 204]","{6: 89, 8: 26, 178: 5, 4: 29, 22: 18, 90: 5, 42: 8, 280: 3, 56: 3, 348: 1, 328: 1, 1: 1, 3: 1}",023678
0000001000,190,522,204,108,"[5, 6, 41, 108]","{108: 5, 2: 73, 4: 71, 24: 26, 60: 5, 168: 3, 48: 3, 204: 2, 1: 1, 9: 1}",023678
0000001010,190,142,1480,80,"[6, 70, 80]","{50: 20, 2: 73, 4: 71, 150: 5, 60: 5, 30: 8, 140: 3, 1480: 1, 786: 1, 1: 1, 37: 1, 88: 1}",023678
0001000000,190,82,524,1209,"[12, 13, 266, 1209]","{10: 89, 8: 26, 17: 21, 4: 29, 56: 5, 220: 3, 18: 8, 121: 5, 524: 2, 1: 1, 12: 1}",023678
0001000010,190,403,264,156,"[4, 12, 32, 156]","{6: 89, 8: 26, 134: 5, 4: 29, 14: 18, 66: 5, 30: 8, 212: 3, 40: 3, 264: 1, 248: 1, 1: 1, 3: 1}",023678
0001001000,190,512,143,342,"[5, 6, 12, 19, 54, 120, 342]","{18: 22, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1}",023678
0001001010,190,142,218,522,"[6, 10, 26, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 9: 1}",023678
0010000000,190,104,417,930,"[12, 13, 14, 26, 27, 214, 930]","{9: 56, 19: 21, 8: 26, 4: 29, 17: 33, 24: 5, 191: 3, 12: 8, 107: 5, 417: 2, 1: 1, 13: 1}",023678
0010000010,190,20,610,1398,"[12, 314, 1398]","{6: 89, 8: 26, 36: 21, 4: 29, 68: 5, 256: 3, 28: 8, 144: 5, 610: 2, 1: 1, 3: 1}",023678
0010001000,190,585,189,108,"[5, 6, 36, 108]","{98: 5, 2: 73, 4: 71, 19: 18, 55: 5, 24: 8, 153: 3, 38: 3, 189: 1, 184: 1, 1: 1, 9: 1}",023678
0010001010,190,148,360,684,"[6, 104, 106, 226, 684]","{154: 3, 2: 73, 4: 71, 34: 18, 70: 12, 132: 5, 68: 3, 360: 2, 1: 1, 72: 1, 37: 1}",023678
0011000000,190,145,482,1125,"[7, 12, 13, 252, 1125]","{10: 89, 8: 26, 17: 21, 4: 29, 42: 5, 199: 3, 11: 8, 107: 5, 482: 2, 1: 1, 12: 1}",023678
0011000010,190,389,462,1062,"[4, 12, 238, 1062]","{6: 89, 8: 26, 24: 21, 4: 29, 52: 5, 192: 3, 20: 8, 108: 5, 462: 2, 1: 1, 3: 1}",023678
0011001000,190,575,143,342,"[5, 6, 7, 19, 54, 120, 342]","{18: 22, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1}",023678
0011001010,190,205,218,522,"[6, 10, 12, 14, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 9: 1}",023678
0100000000,190,88,287,153,"[12, 13, 14, 60, 153]","{9: 89, 146: 5, 8: 26, 20: 18, 4: 29, 71: 5, 19: 8, 235: 3, 58: 3, 286: 1, 287: 1, 1: 1, 13: 1}",023678
0100000010,190,97,332,192,"[4, 12, 44, 192]","{6: 89, 8: 26, 170: 5, 4: 29, 22: 18, 86: 5, 38: 8, 268: 3, 56: 3, 332: 1, 316: 1, 1: 1, 3: 1}",023678
0100001000,190,508,377,828,"[5, 6, 170, 828]","{19: 21, 2: 73, 4: 71, 58: 5, 178: 3, 29: 8, 101: 5, 377: 2, 1: 1, 9: 1}",023678
0100001010,190,138,580,1302,"[6, 274, 1302]","{34: 21, 2: 73, 4: 71, 60: 5, 276: 3, 30: 8, 146: 5, 580: 2, 1: 1, 23: 1}",023678
0101000000,190,96,285,153,"[12, 13, 48, 153]","{10: 89, 8: 26, 144: 5, 4: 29, 18: 18, 69: 5, 17: 8, 233: 3, 56: 3, 284: 1, 285: 1, 1: 1, 12: 1}",023678
0101000010,190,466,248,144,"[4, 12, 32, 144]","{6: 89, 8: 26, 126: 5, 4: 29, 14: 18, 62: 5, 26: 8, 200: 3, 40: 3, 248: 1, 236: 1, 1: 1, 3: 1}",023678
0101001000,190,449,143,342,"[5, 6, 31, 54, 120, 342]","{18: 21, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1, 30: 1}",023678
0101001010,190,79,218,522,"[6, 36, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 35: 1}",023678
0110000000,190,73,632,318,"[12, 13, 14, 318]","{9: 56, 16: 18, 8: 26, 20: 18, 4: 29, 24: 5, 60: 5, 64: 8, 171: 5, 12: 8, 232: 3, 632: 1, 45: 3, 432: 1, 153: 2, 1: 1, 13: 1}",023678
0110000010,190,83,586,1338,"[4, 12, 298, 1338]","{6: 89, 8: 26, 32: 21, 4: 29, 68: 5, 248: 3, 28: 8, 140: 5, 586: 2, 1: 1, 3: 1}",023678
0110001000,190,571,347,768,"[5, 6, 160, 768]","{19: 21, 2: 73, 4: 71, 48: 5, 163: 3, 24: 8, 91: 5, 347: 2, 1: 1, 9: 1}",023678
0110001010,190,136,641,6,[6],"{34: 21, 2: 73, 4: 71, 582: 1, 76: 5, 126: 8, 62: 3, 420: 3, 364: 2, 641: 1, 1: 1, 72: 1}",023678
0111000000,190,82,524,1230,"[12, 13, 280, 1230]","{10: 89, 8: 26, 24: 21, 4: 29, 42: 5, 213: 3, 11: 8, 114: 5, 524: 2, 1: 1, 12: 1}",023678
0111000010,190,452,438,1002,"[4, 12, 222, 1002]","{6: 89, 8: 26, 20: 29, 4: 29, 52: 5, 184: 3, 104: 5, 438: 2, 1: 1, 3: 1}",023678
0111001000,190,512,143,342,"[5, 6, 26, 54, 120, 342]","{18: 21, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1, 25: 1}",023678
0111001010,190,142,218,522,"[6, 14, 22, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 21: 1}",023678
0200000000,190,72,636,14,"[12, 13, 14]","{9: 89, 19: 21, 8: 26, 4: 29, 561: 1, 46: 5, 110: 8, 40: 3, 411: 3, 324: 2, 636: 1, 1: 1, 59: 1}",023678
0200000010,190,97,332,192,"[4, 12, 44, 192]","{6: 89, 8: 26, 170: 5, 4: 29, 22: 18, 86: 5, 38: 8, 268: 3, 56: 3, 332: 1, 316: 1, 1: 1, 3: 1}",023678
0200001000,190,508,377,843,"[5, 6, 180, 843]","{24: 29, 2: 73, 4: 71, 48: 5, 173: 3, 96: 5, 377: 2, 1: 1, 9: 1}",023678
0200001010,190,205,1384,80,"[4, 6, 70, 80]","{50: 20, 2: 73, 4: 71, 138: 5, 60: 5, 30: 8, 128: 3, 1384: 1, 734: 1, 1: 1, 37: 1, 80: 1}",023678
0201000000,190,19,1364,292,"[12, 292]","{10: 89, 8: 26, 17: 21, 4: 29, 82: 5, 259: 3, 31: 8, 147: 5, 602: 2, 1: 1, 1364: 1}",023678
0201000010,190,466,248,144,"[4, 12, 32, 144]","{6: 89, 8: 26, 126: 5, 4: 29, 14: 18, 62: 5, 26: 8, 200: 3, 40: 3, 248: 1, 236: 1, 1: 1, 3: 1}",023678
0201001000,190,449,143,342,"[5, 6, 31, 54, 120, 342]","{18: 21, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1, 30: 1}",023678
0201001010,190,205,218,522,"[4, 6, 10, 22, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 9: 1}",023678
0210000000,190,73,925,294,"[12, 13, 14, 294]","{9: 56, 19: 21, 8: 26, 4: 29, 65: 5, 25: 18, 24: 5, 30: 5, 91: 8, 12: 8, 40: 4, 458: 1, 925: 1, 479: 2, 1: 1}",023678
0210000010,190,34,344,192,"[12, 48, 192]","{6: 89, 8: 26, 178: 5, 4: 29, 26: 18, 90: 5, 38: 8, 280: 3, 64: 3, 344: 1, 332: 1, 1: 1, 3: 1}",023678
0210001000,190,571,347,783,"[5, 6, 170, 783]","{24: 21, 2: 73, 4: 71, 38: 5, 158: 3, 19: 8, 86: 5, 347: 2, 1: 1, 9: 1}",023678
0210001010,190,142,1408,88,"[6, 74, 88]","{54: 20, 2: 73, 4: 71, 142: 5, 68: 5, 34: 8, 128: 3, 1408: 1, 746: 1, 1: 1, 37: 1, 80: 1}",023678
0211000000,190,82,482,1125,"[12, 20, 252, 1125]","{10: 89, 8: 26, 17: 21, 4: 29, 42: 5, 199: 3, 11: 8, 107: 5, 482: 2, 1: 1, 19: 1}",023678
0211000010,190,403,260,144,"[4, 12, 36, 144]","{6: 89, 8: 26, 134: 5, 4: 29, 18: 18, 66: 5, 26: 8, 212: 3, 48: 3, 260: 1, 252: 1, 1: 1, 3: 1}",023678
0211001000,190,512,143,342,"[5, 6, 26, 54, 120, 342]","{18: 21, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1, 25: 1}",023678
0211001010,190,142,218,522,"[6, 10, 26, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 9: 1}",023678
0300000000,190,84,304,627,"[12, 13, 14, 115, 116, 187, 627]","{9: 89, 129: 3, 8: 26, 20: 18, 4: 29, 59: 13, 95: 5, 58: 3, 304: 2, 1: 1, 24: 1}",023678
0300000010,190,160,316,180,"[4, 12, 44, 180]","{6: 89, 8: 26, 162: 5, 4: 29, 22: 18, 82: 5, 34: 8, 256: 3, 56: 3, 316: 1, 304: 1, 1: 1, 3: 1}",023678
0300001000,190,571,347,768,"[5, 6, 160, 768]","{19: 21, 2: 73, 4: 71, 48: 5, 163: 3, 24: 8, 91: 5, 347: 2, 1: 1, 9: 1}",023678
0300001010,190,201,548,1230,"[4, 6, 262, 1230]","{34: 21, 2: 73, 4: 71, 60: 5, 256: 3, 30: 8, 138: 5, 548: 2, 1: 1, 19: 1}",023678
0301000000,190,33,336,192,"[12, 48, 192]","{10: 89, 8: 26, 170: 5, 4: 29, 18: 18, 82: 5, 30: 8, 272: 3, 56: 3, 336: 1, 324: 1, 1: 1, 191: 1}",023678
0301000010,190,529,232,132,"[4, 12, 32, 132]","{6: 89, 8: 26, 118: 5, 4: 29, 14: 18, 58: 5, 22: 8, 188: 3, 40: 3, 232: 1, 224: 1, 1: 1, 3: 1}",023678
0301001000,190,512,143,342,"[5, 6, 26, 54, 120, 342]","{18: 21, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1, 25: 1}",023678
0301001010,190,142,218,522,"[4, 6, 32, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 31: 1}",023678
0310000000,190,78,1217,36,"[12, 13, 14, 36]","{9: 56, 24: 26, 8: 26, 20: 18, 4: 29, 65: 10, 56: 8, 12: 8, 194: 3, 1217: 1, 94: 2, 563: 1, 1: 1, 119: 1}",023678
